medcodeid,Diastolic,Systolic
64172013,,
165902015,,
216600016,,
254063019,,
254064013,,
254079018,,
254080015,,
254083018,,
254084012,,
254091010,,
256343017,,
264498011,,
317910016,,
317911017,,
453928018,,
458803012,,1
458808015,,1
458809011,,1
458812014,,1
458816012,1,
458823013,1,
458824019,1,
458825018,1,
459379010,,
460131015,,1
460132010,1,
461166013,,
1780182014,,1
1780183016,1,
2159155011,,1
2159156012,1,
2159157015,,1
2159158013,1,
2474699019,,
2533615017,,1
2533636015,1,
298281000000114,,1
298311000000112,1,
622341000000118,,
961921000006116,,
1009231000006116,,
1009241000006114,,
1736511000000119,,
1805081000006114,,
1808021000006115,,
1808041000006110,,
1808051000006112,,
1993951000006110,1,
1994021000006115,,1
2011931000006112,,
2011941000006119,,
2122371000000114,,
2122411000000113,,
2145481000000113,,
2371211000000110,,
2378631000000110,,
2418921000000115,1,
2418961000000111,,1
2530601000006114,,
2608391000006111,,
2610791000000116,,
2610831000000111,,
3226171000006113,,
3259241000006119,,
3676271000006117,,
3725601000006111,,
3725611000006114,,
4556671000006111,,
4556691000006112,,
4556711000006110,,
5295121000006118,,
5295211000006115,,
5527181000006111,,
5527191000006114,,
5527211000006110,,
6046301000006116,,
6046311000006118,,1
6046321000006114,1,
7841931000006117,,
7875581000006110,,
8107481000006110,,
8369471000006111,,
